Title,Title_CKIP,Category
高鐵增清晨北上列車  中南部出國更方便,高鐵　增　清晨　北上　列車　中南部　出國　更　方便,t
「高捷三寶關燈、補丁、省空調」 議員批省過頭,「　高捷　三寶　關燈　、　補丁　、　省　空調　」　議員　批省　過　頭,o
復育秀英花 阿嬤記憶停格機捷車站,復育　秀英花　阿嬤　記憶　停格機捷　車站,o
賀陳旦視察北屯機廠 初體驗列車駕駛,賀陳旦　視察　北屯　機廠　初　體驗　列車　駕駛,o
麻疹確診個案曾搭客運、捷運 同時段搭車者須自主管理,麻疹　確診　個案　曾　搭　客運　、　捷運　同　時段　搭　車　者　須　自主　管理,o
照明昏暗省過頭 高捷允冷氣照明調控,照明　昏暗省　過　頭　高捷允　冷氣　照明　調控,s
高鐵勞動節連假增52班  4/1開訂,高鐵　勞動節　連假　增　52　班　4　/　1　開　訂,t
體貼機捷旅客  台鐵便當本舖5號店31日開張,體貼　機捷　旅客　台鐵　便當　本舖　5　號　店　31　日　開張,o
高鐵增開班次 想搭早班機的有福了,高鐵　增開　班次　想　搭早　班機　的　有　福　了,t
把握半價搭機捷最終日  2日原價,把握　半價　搭機　捷　最終日　2　日　原價,e
機場捷運滿月 恢復正常票價,機場捷運　滿月　恢復　正常　票價,e
服務中南部出國旅客 高鐵28日起新增6時左營北上列車,服務　中南部　出國　旅客　高鐵　28　日　起　新增　6時　左營　北上　列車,t
80歲阿嬤帶「老公」搭高鐵去旅行 故事超感動,80　歲　阿嬤　帶　「　老公　」　搭　高鐵　去　旅行　故事　超　感動,o
中市捷運題材發酵 鄰商圈及綠地房市看好,中市　捷運　題材　發酵　鄰　商圈　及　綠地　房市　看好,o
4月3日中視午間新聞搶先看  為女爭風吃醋 西門捷運站前燃信號彈虛驚,4月　3日　中視　午間　新聞　搶先　看　為　女　爭風吃醋　西門　捷運站　前　燃　信號彈　虛驚,o
高鐵台南站今起接送分流 改善交通壅塞,高鐵　台南　站　今　起　接送　分流　改善　交通　壅塞,t
悠遊卡推出高捷、公車轉乘優惠,悠遊卡　推出　高捷　、　公車　轉乘　優惠,e
捷運電扶梯兩兩站立 比留通道更省時,捷運　電　扶梯　兩兩　站立　比　留　通道　更　省時,o
萬安40號演習13日登場 高鐵聯外接駁暫停,萬安　40　號　演習　13　日　登場　高鐵　聯外　接駁　暫停,t
13日萬安演習 高鐵5站聯外交通停駛半小時,13　日　萬安　演習　高鐵　5　站　聯外　交通　停駛　半　小時,t
13日下午萬安演習 高鐵苗栗、台中、雲林及嘉義配合管制,13日　下午　萬安　演習　高鐵　苗栗　、　台中　、　雲林　及　嘉義　配合　管制,t
農漁網具或帆布危及高鐵 恐面臨高鐵求償,農　漁網　具　或　帆布　危及　高鐵　恐　面臨　高鐵　求償,o
高鐵母親節加開52班車 周六開放購票,高鐵　母親節　加開　52　班車　周六　開放　購票,t
人員闖入高鐵軌道 6班次誤點,人員　闖入　高鐵　軌道　6　班次　誤點,t
持悠遊卡搭高捷公車享轉乘優惠 消費滿百再回饋20％,持　悠遊　卡搭高捷　公車　享　轉乘　優惠　消費　滿百　再　回饋　20％,e
4月16日各報頭版要聞,4月　16日　各　報　頭版　要聞,o
北市就服處4／17-4／21服務業大量徵才,北市　就　服處　4／17　-　4／21　服務業　大量　徵才,o
機捷推優惠  看Lamigo桃園主場回程免費,機捷推　優惠　看　Lamigo　桃園　主場　回程　免費,e
前瞻大餅「中彰投苗」聯盟成型？ 對抗雙北,前瞻　大餅　「　中　彰投苗　」　聯盟　成型　？　對抗　雙北,o
前瞻發展軌道運輸 柯P：想以北捷經驗提醒中央,前瞻　發展　軌道　運輸　柯　P　：　想　以北　捷　經驗　提醒　中央,o
捷運虧損誰負責？柯P：查查機場線現在現金流量多少,捷運　虧損　誰　負責　？　柯　P　：　查查　機場線　現在　現金流量　多少,o
不須蓋基隆輕軌？柯P：應連同其他一起討論,不須　蓋　基隆　輕　軌　？　柯　P　：　應　連同　其他　一起　討論,o
鄭開翔速寫屏東市景 圖像紀錄城市變化,鄭開翔　速寫　屏東市　景　圖像　紀錄　城市　變化,o
3項軌道建設有譜 高鐵田中站將成彰化觀光門戶,3　項　軌道　建設　有　譜　高鐵　田中　站　將　成　彰化　觀光　門戶,o
桃捷饗宴 育達高中餐旅群科舉辦餐旅日,桃捷　饗宴　育達　高　中餐　旅　群　科　舉辦　餐　旅日,o
總是比住戶想更多  璞園打造桃園高鐵夢想宅,總是　比　住戶　想　更多　璞園　打造　桃園　高鐵　夢想　宅,o
學生載歌載舞 宣傳雲林國際藝術展,學生　載歌載舞　宣傳　雲林　國際　藝術展,o
台灣、日本捷運公司與機場營運公司 四社簽定合作備忘錄,台灣　、　日本　捷運　公司　與　機場　營運　公司　四社　簽定　合作備忘錄,o
台鐵27日改點增班 高鐵轉乘更便利,台鐵　27　日　改點增班　高鐵　轉乘　更　便利,t
為萬大線槓上朱立倫？柯P：找出工程瓶頸解決就好,為　萬大　線　槓上　朱立倫　？　柯　P　：　找出　工程　瓶頸　解決　就　好,o
六家線轉高鐵時間對不上？現在免擔心了,六家　線轉　高鐵　時間　對　不　上　？　現在　免　擔心　了,t
超音波、磁粉探傷預防車軸斷裂 高鐵揭密,超音波　、　磁粉　探傷　預防　車軸　斷裂　高鐵　揭密,o
高鐵端午加開156列車 周六開賣,高鐵　端午　加開　156　列車　周六　開賣,t
高鐵今起加開左營6時北上列車 鄭文燦站台促銷轉搭機捷到機場,高鐵　今　起　加開　左營　6時　北上　列車　鄭文燦　站台　促銷　轉　搭機　捷　到　機場,t
醉客搭捷運隨意嘔吐 最高可罰7500元,醉客　搭　捷運　隨意　嘔吐　最　高　可　罰　7500　元,o
再現橋頭意象 高捷高架橋柱粉刷,再現　橋頭　意象　高捷　高架橋柱　粉刷,o
高鐵車上AED電擊 遊台泰國醫師起死回生,高鐵車　上　AED　電擊　遊　台　泰國　醫師　起死回生,o
高鐵給媽咪「按」個讚,高鐵　給　媽咪　「　按　」　個　讚,o
高捷母親節活動 送300份紫米紅豆粥品,高捷　母親節　活動　送　300　份　紫米　紅豆　粥品,o
台南會展中心興建工程國際徵圖起跑,台南　會展　中心　興建　工程　國際　徵圖　起跑,o
給媽咪按個讚！歡慶母親節活動多,給　媽咪　按　個　讚　！　歡慶　母親節　活動　多,o
台中捷運18列電聯車 預計今年底全數交車,台中　捷運　18　列　電聯車　預計　今年　底　全數　交　車,o
高鐵為母親節加開北返班次,高鐵　為　母親節　加開　北　返　班次,t
烏日高鐵區怪象 道路分隔綠帶是公園用地,烏日　高鐵　區怪象　道路　分隔　綠帶　是　公園　用地,o
故宮11億「鬥彩雞缸杯」展櫃竟出現蒼蠅屍,故宮　11億　「　鬥彩雞　缸　杯　」　展　櫃　竟　出現　蒼蠅　屍,o
台中捷運2018才試運轉 議員批現在就聘60員工,台中　捷運　2018　才　試　運轉　議員　批　現在　就　聘　60　員工,o
嘉義地震 高鐵部分班車延誤,嘉義　地震　高鐵　部分　班車　延誤,t
「我不勇敢 生活怎麼過下去？」8旬玫瑰嬤賣花養家,「　我　不　勇敢　生活　怎麼　過　下去　？　」　8　旬　玫瑰　嬤　賣　花　養家,o
高鐵攜手北捷、雙層觀巴 交通聯票6月開賣,高鐵　攜手　北捷　、　雙層　觀巴　交通　聯票　6月　開賣,e
端節疏運 高鐵加開兩班自由座列車,端節　疏運　高鐵　加開　兩　班　自由座　列車,t
高鐵北捷雙層巴士聯票6／1首發 現省1110元,高鐵　北捷　雙層　巴士　聯票　6／1　首發　現　省　1110　元,e
中山地下書街公共通道 6月起分區段裝修,中山　地　下　書　街　公共　通道　6月　起　分　區段　裝修,s
端午連假亂象？ 嘉義高鐵站外滿地菸蒂,端午　連假　亂象　？　嘉義　高鐵　站　外　滿　地　菸蒂,o
暑假出遊去 學生搭高鐵最多打5折,暑假　出遊　去　學生　搭　高鐵　最多　打　5　折,e
北捷被爆剝削清潔工 勞工怒控：太過分,北捷　被　爆　剝削　清潔工　勞工　怒控　：　太　過分,o
機捷通車 醒吾科大接駁學生更方便,機捷　通車　醒吾　科大　接駁　學生　更　方便,o
高鐵清明連假加開181班車 周六開放購票,高鐵　清明　連假　加開　181　班車　周六　開放　購票,t
清明高鐵加班車 4日凌晨開賣,清明　高鐵　加班車　4日　凌晨　開賣,e
機捷首日開通8成座位坐滿 動線舒適,機捷　首日　開通　8成　座位　坐滿　動線　舒適,s
機捷開通  桃機員工航廈免費搭,機捷　開通　桃機　員工　航廈　免費　搭,e
和機捷拚了 國光客運新站啟用,和　機捷拚　了　國光　客運　新站　啟用,o
中捷施工出包  暫停日間吊掛作業,中捷　施工　出包　暫停　日間　吊掛　作業,o
往返一二航廈不用搭電車 桃機：開放免費搭機捷,往返　一二　航廈　不用　搭　電車　桃機　：　開放　免費　搭機　捷,e
消基會呼籲桃園捷運改進五項缺失,消基會　呼籲　桃園　捷運　改進　五　項　缺失,s
桃捷推桃囍紀念套票  11日起限量販售,桃捷推桃囍　紀念　套票　11　日　起　限量　販售,e
桃捷推135優惠  公司學校社區獨享,桃捷推　135　優惠　公司　學校　社區　獨享,e
持桃園市民卡搭機捷 送大杯熱拿鐵,持　桃園　市民卡　搭機　捷　送　大　杯　熱　拿　鐵,e
搭輕軌不嗶  高捷專人稽票卡,搭　輕　軌　不　嗶　高　捷　專人　稽票　卡,s
乘客抱怨機捷嚴重誤點  桃捷：瞭解中,乘客　抱怨　機捷　嚴重　誤點　桃捷　：　瞭解　中,t
兩段式票價比單趟便宜 A7百名住戶要降價,兩段式　票價　比　單　趟　便宜　A　7百　名　住戶　要　降價,e
龜山住戶抗議票價  桃捷：穩定後調整,龜山　住戶　抗議　票價　桃捷　：　穩定　後　調整,e
機捷分段比一段便宜 桃捷：之前降太多的結果,機捷　分段　比　一段　便宜　桃捷　：　之前　降　太多　的　結果,e
機捷誤點  華航查無旅客取消搭機,機捷　誤點　華航　查無　旅客　取消　搭機,t
桃捷369優惠票 明天開賣抽機票,桃捷　369　優惠票　明天　開賣　抽　機票,e
天團加持  高捷日增7萬人次運量,天團　加持　高捷日增　7萬　人次　運量,t
滿足臨停需求 中捷文心路部分路側紅線改黃線,滿足　臨　停　需求　中　捷文　心路　部分　路　側紅線改黃線,o
五月天免費開唱 北市府呼籲歌迷搭捷運公車前往,五月　天　免費　開　唱　北市府　呼籲　歌迷　搭　捷運　公車　前往,t
兩鐵聯手  暢遊集集賞櫻超省錢,兩　鐵　聯手　暢遊　集集　賞　櫻超　省錢,e
五月天演唱會 捷運應該這樣搭,五月　天　演唱會　捷運　應該　這樣　搭,o
大台南未來捷運網可期待,大　台南　未來　捷運網　可　期待,o
五月天演唱會 北捷大安森林站運量較同期增3萬人,五月　天　演唱會　北捷　大安　森林　站　運量　較　同　期　增　3萬　人,t
推捷運黃線  高捷拚7年完工,推　捷運　黃　線　高捷拚　7　年　完工,o
營運困難！北捷108站快取寶 即日起停止服務,營運　困難　！　北捷　108　站　快取　寶　即日　起　停止　服務,o
機捷恢復正常價 桃捷分送彌月蛋糕,機捷　恢復　正常價　桃捷　分送　彌月　蛋糕,e
高鐵是否漲價  交部：不期待調漲,高鐵　是否　漲價　交部　：　不　期待　調漲,e
高鐵將漲價？交通部：請高鐵審慎評估,高鐵　將　漲價　？　交通部　：　請　高鐵　審慎　評估,e
票價將漲5％？高鐵公司：待送董事會討論  儘早公布結果,票價　將　漲　5％　？　高鐵　公司　：　待　送　董事會　討論　儘早　公布　結果,e
高鐵票價達調高標準  是否漲價待評估,高鐵　票價　達　調高　標準　是否　漲價　待　評估,e
得易Ponta vs.玉山銀行 首次轉點加碼送 一卡通桃捷交通累點啟動,得易　Ponta　vs　.　玉山銀行　首　次　轉點　加碼　送　一　卡通　桃捷　交通　累點　啟動,e
高鐵調漲票價 專家：只看物價指數令人無法接受,高鐵　調漲　票價　專家　：　只　看　物價指數　令　人　無法　接受,e
收假日高鐵道岔異常 28分排除故障,收假　日高　鐵道　岔　異常　28　分　排除　故障,t
高鐵新竹站道岔訊號異常 影響部分車次,高鐵　新竹　站道岔　訊號　異常　影響　部分　車次,t
柯文哲：美感教育不能等！北捷內藝術展區卻在消失中,柯文哲　：　美感　教育　不能　等　！　北捷　內　藝術展區　卻　在　消失　中,o
高鐵便當改版 3款新口味開賣,高鐵　便當　改版　3　款　新　口味　開賣,o
選擇更多元  高鐵便當換新口味登場,選擇　更　多元　高鐵　便當　換新　口味　登場,o
機捷票價議員嫌高 盼調降並開放愛心卡使用,機捷　票價　議員　嫌高　盼　調降　並　開放　愛心卡　使用,e
機捷借來超音波探傷車 全面檢測鋼軌安全,機捷　借來　超音波　探傷車　全面　檢測　鋼軌　安全,o
防範事故 高鐵新三站月台裝設智慧型監視器,防範　事故　高鐵　新三　站　月台　裝設　智慧型　監視器,s
周五持悠遊卡搭北捷、公車、Youbike 集點倍數送,周五持　悠遊　卡搭北捷　、　公車　、　Youbike　集點　倍數　送,e
台北捷運商品館重新開幕 限定期間雙重回饋禮,台北　捷運　商品館　重新　開幕　限定　期間　雙重　回饋　禮,e
中捷電聯車穩定度測試 市府有信心明年試運轉,中捷　電聯車　穩定度　測試　市府　有　信心　明年　試　運轉,o
高雄空氣太差 環團要求紅害日免費搭捷運公車,高雄　空氣　太　差　環團　要求　紅害日　免費　搭　捷運　公車,o
車廂設置AED 桃捷全台唯一,車廂　設置　AED　桃捷　全台　唯一,s
「台北捷運Go」APP改版 全國交通資訊e手掌握,「　台北　捷運　Go　」　APP　改版　全國　交通　資訊　e　手　掌握,o
文湖線軌道輕微冒煙 全線暫停後已恢復營運,文湖線　軌道　輕微　冒煙　全線　暫停　後　已　恢復　營運,t
高鐵母親節活動開跑 臉書互動抽車票,高鐵　母親節　活動　開跑　臉書　互動　抽　車票,e
高捷好小子夏令營 早鳥享優惠報名開始,高捷　好小子　夏令營　早　鳥享　優惠　報名　開始,e
萬安演習5／18舉行 北捷正常運行但乘客不能離站,萬安　演習　5／18　舉行　北捷　正常　運行　但　乘客　不能　離　站,o
慶祝母親節 陳菊到高鐵站發送火鶴花,慶祝　母親節　陳菊　到　高鐵　站　發送　火鶴花,o
高鐵站快閃表演 提前傳遞母親節溫馨,高鐵　站　快　閃　表演　提前　傳遞　母親節　溫馨,o
持車票到高鐵苗栗站 媽媽可享免費按摩,持　車票　到　高鐵　苗栗站　媽媽　可　享　免費　按摩,e
機捷穿新衣 首輛彩繪列車著裝大公開,機捷穿　新衣　首　輛　彩繪　列車　著裝　大　公開,o
高鐵端午加開6班車 周六開放預購,高鐵　端午　加開　6　班車　周六　開放　預購,t
台中捷運新一代號誌系統班距最短90秒 迅速紓解人潮,台中　捷運　新一代　號誌　系統　班距　最　短　90　秒　迅速　紓解　人潮,s
搭高鐵可充電 兩車廂新增USB插座,搭　高鐵　可　充電　兩　車廂　新增　USB　插座,s
中捷引進德路軌兩用車 可拖引重10倍電聯車,中捷　引進　德路軌　兩用車　可　拖引重　10　倍　電聯車,o
北捷準備好了！ 旅客可將衛生紙丟馬桶,北捷　準備好　了　！　旅客　可　將　衛生紙　丟　馬桶,s
台中捷運全線月台門可耐17級強風 防落軌,台中　捷運　全線　月台　門可耐　17　級　強風　防落　軌,s
舞台變身捷運車廂 音樂劇《MRT2》高唱歡笑青春無敵,舞台　變身　捷運　車廂　音樂劇　《　MRT　2　》　高唱　歡笑　青春　無敵,e
捷運古亭站5號出入口電扶梯 6月5日啟用,捷運　古亭　站　5　號　出入口　電　扶梯　6月　5日　啟用,s
「2017 高雄捷運公益路跑」活動 開始接受報名,「　2017　高雄　捷運　公益　路跑　」　活動　開始　接受　報名,e
離彰化市最近的高鐵站不是彰化!市長：該正名嗎？,離　彰化市　最近　的　高鐵　站　不　是　彰化　!　市長　：　該　正名　嗎　？,o
萬大線工程疑挖到古城牆遺址 議員籲停工釐清,萬大　線　工程　疑　挖　到　古城　牆　遺址　議員　籲　停工　釐清,o
歧視更生人？台灣高鐵：保障工程安全,歧視　更生人　？　台灣高鐵　：　保障　工程　安全,o
機捷通車將滿百日 鄭文燦：成效超過高捷北捷,機捷　通車　將　滿百　日　鄭文燦　：　成效　超過　高捷北捷,o
中捷與台鐵連通 北中南3站無縫轉乘,中捷　與　台鐵　連通　北　中　南3　站　無縫　轉乘,t
進駐機捷滿100天 微風辦夏日響樂節音樂會,進駐　機捷滿　100　天　微風　辦　夏日　響樂節　音樂會,e
高鐵2017暑假營隊 12日開放報名,高鐵　2017　暑假　營隊　12日　開放　報名,e
捷運台電大樓站1號出口26日起拖吊違停自行車,捷運　台電　大樓　站　1　號　出口　26　日　起　拖吊　違停　自行車,s
岑永康稱高捷「空蕩蕩」 網友發全景照打臉,岑　永康　稱高捷　「　空蕩蕩　」　網友　發　全　景　照　打　臉,o
遠傳電信集團釋出高達60K主管職缺,遠傳　電信　集團　釋出　高達　60　K　主管　職缺,o
這也可以比！ 網友辦北捷空無一人攝影賽,這　也　可以　比　！　網友　辦北捷　空無一人　攝影賽,e
高鐵贈送車票 身障院生圓夢遠遊,高鐵　贈送　車票　身障院生　圓夢　遠遊,e
捷運台電大樓站1號出口 即日起拖吊違停自行車,捷運　台電　大樓　站　1　號　出口　即日　起　拖吊　違停　自行車,s
高鐵商務艙優惠8月起8折變9折 最多縮水250元,高鐵　商務艙　優惠　8月　起　8　折　變　9　折　最多　縮水　250　元,e
方便太平民眾橫越市區 74路太平快線公車上路,方便　太平　民眾　橫越　市區　74　路　太　平快　線　公車　上路,t
機捷營運三個月虧上億？網批蔡：還搞軌道建設,機捷　營運　三　個　月　虧　上億　？　網批　蔡　：　還　搞　軌道　建設,o
捷運綠線G8a站坐擁精華地帶 將成逢甲商圈新門戶,捷運　綠線　G8a　站　坐擁　精華　地帶　將　成　逢甲　商圈　新　門戶,o
陳建銘：興建捷運有時是一個迷思,陳建銘　：　興建　捷運　有時　是　一　個　迷思,o
北市就服處提供548個工作機會,北市　就　服處　提供　548　個　工作機會,o
吳淡如PO車廂空蕩照 桃捷公司3點回應：以偏概全,吳淡　如　PO　車廂　空蕩　照　桃捷　公司　3　點　回應　：　以偏概全,o
高鐵站再掀正名話題！魏明谷建議縣市名下再加鄉鎮,高鐵　站　再　掀　正名　話題　！　魏明谷　建議　縣市　名下　再　加　鄉　鎮,o
糗！交通部為「前瞻軌道」製圖釋疑卻出包,糗　！　交通部　為　「　前瞻　軌道　」　製圖　釋疑　卻　出包,o
空蕩蕩! 吳淡如3圖曝機捷慘狀,空蕩蕩　!　吳　淡　如　3　圖　曝機捷　慘狀,o
台灣高鐵探索館 辦鐵道文化講座,台灣高鐵　探索館　辦　鐵道　文化　講座,e
遭聯結車撞擊 機捷停擺45分鐘,遭　聯結　車　撞擊　機捷　停擺　45　分鐘,t
機捷橋墩遭撞 鄭文燦：全線安全一併檢討,機捷　橋墩　遭　撞　鄭文燦　：　全線　安全　一併　檢討,o
捷運三鶯線車站命名完成 預計2023年完工,捷運　三鶯線　車站　命名　完成　預計　2023年　完工,s
捷運新蘆線經費訴訟敗訴 柯P：輸了就吞下去,捷運　新蘆線　經費　訴訟　敗訴　柯　P　：　輸　了　就　吞下去,o
北捷新店線大坪林站 施工隔板遭強風吹開,北捷　新店線　大　坪林站　施工　隔板　遭　強風　吹開,s
安娜貝爾登車損商譽 律師：高鐵想告舉證hen難！,安娜　貝爾　登　車　損　商譽　律師　：　高鐵　想　告　舉證　hen　難　！,o
台中捷運電聯車再測試 朝109年通車邁進,台中　捷運　電聯車　再　測試　朝　109　年　通車　邁進,t
華航紐澳線冬季航班倍增 北捷紐澳專車打卡送機票,華航　紐　澳　線　冬季　航班　倍增　北　捷　紐　澳　專車　打卡　送　機票,e
遭桃園市府刁難 桃捷公會赴勞動部陳情,遭　桃園　市府　刁難　桃捷　公會　赴　勞動部　陳情,o
新北捷運環狀線合龍 完工8成預明年底通車,新　北　捷運　環狀　線合龍　完工　8成　預　明年　底　通車,t
加強培育專業人才 興大台中捷運簽署產學合作,加強　培育　專業人才　興大　台中　捷運　簽署　產學合作,o
營運前虧損 桃捷公司全力向中央爭取補助損失,營運　前　虧損　桃捷　公司　全力　向　中央　爭取　補助　損失,o
高鐵趴趴唱「Tuuletar」樂團台中站登場,高鐵　趴　趴唱　「　Tuuletar　」　樂團　台中站　登場,e
歡慶重陽節 高鐵贈票助長者圓夢,歡慶　重陽節　高鐵　贈　票　助長　者　圓夢,e
高鐵個人會員明凌晨上線  車票、生日禮、指定車次優惠樣樣來,高鐵　個　人　會員　明　凌晨　上線　車票　、　生日　禮　、　指定　車次　優惠　樣樣　來,e
高鐵會員TGo明上線 抽萬張半價票,高鐵　會員　TGo　明　上線　抽　萬　張　半價票,e
小巨蛋委外更賺錢  市府仍決定由北捷經營,小　巨蛋　委外　更　賺錢　市府　仍　決定　由　北捷　經營,o
周末音樂饗宴 興大附中管樂社高鐵演出,周末　音樂　饗宴　興大　附中　管樂社　高鐵　演出,e
高鐵送免費車票 北美國小：最棒萬聖節禮物,高鐵　送　免費　車票　北美　國小　：　最　棒　萬聖節　禮物,e
爭取楊梅到高鐵快捷公車 邀請業者投標,爭取　楊梅　到　高鐵　快捷　公車　邀請　業者　投標,o
影》高鐵公布最怕「4大生物」 遇到哪個最崩潰？,影　》　高鐵　公布　最　怕　「　4大　生物　」　遇到　哪　個　最　崩潰　？,o
高鐵捐血傳愛活動 10日桃園站開跑,高鐵　捐血傳　愛　活動　10　日　桃園站　開跑,e
當心！假優惠滿天飛 台鐵、高鐵、遠通都受害,當心　！　假　優惠　滿天飛　台鐵　、　高鐵　、　遠通　都　受害,e
影》高鐵稱爆滿車廂竟空蕩蕩 立委批：難怪虧本,影　》　高鐵　稱　爆滿　車廂　竟　空蕩蕩　立委　批　：　難怪　虧本,o
台北捷運6折兒童票 確定明年元旦零時上路,台北　捷運　6　折　兒童票　確定　明年　元旦　零時　上路,e
高鐵行動購票再升級 Apple、Android Pay即日啟用,高鐵　行動　購票　再　升級　Apple　、　Android　Pay　即日　啟用,e
高捷限定「Art-Zoo藝術動物園」彩繪列車 合照送好禮,高捷　限定　「　Art-Zoo　藝術　動物園　」　彩繪　列車　合照　送　好禮,e
高捷限定「Art-Zoo藝術動物園」彩繪列車 合照送好禮,高捷　限定　「　Art-Zoo　藝術　動物園　」　彩繪　列車　合照　送　好禮,e
藍41公車延駛至捷運永安市場站 16日正式上路,藍　41　公車　延　駛至　捷運　永安　市場站　16　日　正式　上路,t
賴清德南下屏東開會 縣議員帶隊抗議拒絕高鐵南延,賴清德　南下　屏東　開會　縣議員　帶隊　抗議　拒絕　高鐵　南延,o
高鐵贈票 帶山區弱勢獨老遊苗栗,高鐵　贈　票帶　山區　弱勢　獨老遊　苗栗,e
高鐵左營站贈票為身心障礙青年圓夢,高鐵　左營站　贈　票　為　身心障礙　青年　圓夢,e
大媽機捷座椅上搓腳飄異味！善意提醒竟遭嗆「管太多」,大媽　機捷　座椅　上　搓腳飄　異味　！　善意　提醒　竟　遭　嗆　「　管　太多　」,o
機捷A9林口站吃健康！「小農市集」等你來,機捷　A　9　林口　站吃　健康　！　「　小農　市集　」　等　你　來,e
疏運返鄉人潮 高鐵今增開1南下加班車,疏運　返鄉　人潮　高鐵　今　增開　1　南下　加班車,t
高鐵會員獨享平日離峰優惠 延至明年3月,高鐵　會員　獨享　平日　離峰　優惠　延至　明年　3月,e
高捷導入人臉辨識系統 分析大數據吸金,高捷　導入　人　臉　辨識　系統　分析　大數據　吸金,o
2017台北馬拉松 捷運清晨5點20分發車,2017　台北　馬拉松　捷運　清晨　5點20　分　發車,t
北捷系統異常！板南線一度單向通車、班次延誤,北捷　系統　異常　！　板南線　一　度　單向　通車　、　班次　延誤,t
網羅各地特產 高鐵市集台中站開幕,網羅　各　地　特產　高鐵　市集　台中站　開幕,e
高鐵台中站市集 網羅國內名產,高鐵　台中站　市集　網羅　國內　名產,e
高鐵市集進駐台中站 祭開幕優惠,高鐵　市集　進駐　台中站　祭　開幕　優惠,e
北捷列車異常 忠義站至紅樹林站單線雙向運行,北捷　列車　異常　忠義站　至　紅樹林站　單線　雙向　運行,t
母抱孩子尿在捷運垃圾桶 引網友憤怒,母抱　孩子　尿　在　捷運　垃圾桶　引　網友　憤怒,o
女大生高鐵上不適 高醫院長等出手救人,女大生　高鐵　上　不適　高醫　院長　等　出手　救　人,o
北港高中捷報！ 地理科老師張凱翔榮獲全國首獎,北港　高中　捷報　！　地理科　老師　張凱翔　榮獲　全國　首獎,o
高鐵延伸屏東評估報告出爐 就等政院點頭,高鐵　延伸　屏東　評估報告　出爐　就　等　政院　點頭,o
比北市更優惠！ 新北兒童搭捷運5折,比　北市　更　優惠　！　新　北　兒童　搭　捷運　5　折,e
《全台最速報》比北市更優惠！新北兒童搭捷運５折,《　全台　最　速報　》　比　北市　更　優惠　！　新　北　兒童　搭　捷運　５　折,e
高鐵南延屏東可行？專家打臉：每年虧2億,高鐵　南延　屏東　可行　？　專家　打臉　：　每年　虧　2億,o
高鐵迎新年 TGo會員搭車送紅利,高鐵　迎　新年　TGo　會員　搭　車　送　紅利,e
高鐵迎新年 TGo會員搭車送紅利,高鐵　迎　新年　TGo　會員　搭　車　送　紅利,e
台北跨年晚會7時嗨唱　捷運5時起3分鐘一班,台北　跨年　晚會　7時　嗨　唱　捷運　5時　起　3　分鐘　一　班,t
高鐵商務車廂 4月1日起取消9折優惠,高鐵　商務　車廂　4月　1日　起　取消　9　折　優惠,e
小確幸沒了！高鐵取消商務車廂9折 4月起北高漲245元,小　確　幸　沒　了　！　高鐵　取消　商務　車廂　9　折　4月　起　北　高漲　245　元,e
高鐵商務車廂9折優惠沒了　4月1日起北高貴245元,高鐵　商務　車廂　9　折　優惠　沒　了　4月　1日　起　北　高貴　245　元,e
搭高鐵春遊使用台灣Pay享百元回饋金,搭　高鐵　春遊　使用　台灣　Pay　享　百　元　回饋　金,e
小確幸沒了！高鐵取消商務車廂9折 4月起北高漲245元,小　確　幸　沒　了　！　高鐵　取消　商務　車廂　9　折　4月　起　北　高漲　245　元,e
搭高鐵刷「台灣Pay」 百元回饋金限量送,搭　高鐵　刷　「　台灣　Pay　」　百　元　回饋　金　限量　送,e
桃園機捷通車2周年 推LED立體列車限量造型票卡,桃園　機捷　通車　2　周年　推　LED　立體　列車　限量　造型　票卡,e
高鐵+馬航 車票優惠最低5折,高鐵　+　馬航　車票　優惠　最　低　5　折,e
大雨襲北台 捷運淡水站地下停車場暫停進出,大雨　襲北台　捷運　淡水　站　地　下　停車場　暫停　進出,s
誇張! 男子想下車 竟用腳硬卡捷運門,誇張　!　男子　想　下車　竟　用　腳　硬卡　捷運門,o
學童搭北捷優惠 柯P：以小學生為主,學童　搭北捷　優惠　柯　P　：　以　小學生　為主,e
機捷A10站開發 鄭文燦：另5站也要配套比照,機捷　A　10　站　開發　鄭文燦　：　另　5　站　也　要　配套　比照,s
高鐵雲林站 7月起每周增停3班,高鐵　雲林站　7月　起　每　周　增停　3　班,t
中捷軌道用可動式岔心 有效減噪,中捷　軌道　用可　動　式岔　心　有效　減噪,o
最夯的打卡新地標 世大運彩繪列車今日啟動！,最　夯　的　打卡　新　地標　世大運　彩繪　列車　今日　啟動　！,e
機捷A5泰山站北出口  2021年可望完工,機捷　A　5　泰山　站北　出口　2021年　可望　完工,s
機捷不能刷卡、列印收據 桃捷說明了,機捷　不能　刷卡　、　列印　收據　桃捷　說明　了,o
捷運台北車站店鋪增建 施工不影響通行,捷運　台北　車站　店鋪　增建　施工　不　影響　通行,s
2500捷運月票擬降價？柯：精算中,2500　捷運　月票　擬　降價　？　柯　：　精算　中,e
不只偷吃東西、化妝、放閃！搭捷運最常做的10件事,不只　偷吃　東西　、　化妝　、　放閃　！　搭　捷運　最　常　做　的　10　件　事,o
